R [kOhms]	T[°C]
285.0	22.2
273.3	24.4
258.1	27
236.4	29.2
230.8	30.3
209.7	33
194.81	35.3
184.03	35.6
180.91	36.5
177.87	37
170.52	38
166.6	39.2
133.34	45.2
117.45	49.2
106.33	51.5
102.34	52.6
99.81	53.7
90.49	56.7
86.17	57.8
84	58.4
79.93	60.2
64.91	65.9
63.31	66.6
60.37	68.4
56.18	70.7
48.67	75.3
46.46	76.5
44.35	77.5
43.37	78.5
40.45	80.4
39.06	80.7
36.76	82.8
34.82	84.3
33.5	85.8
30.29	89.6
28.49	91.2
27.34	92.2
26.25	93.9
25.2	95
24.71	96.2
23.72	97.4
22.78	99.2
22.32	99.8
21.46	101.4
21.04	101.9
20.23	103.4
19.45	104.4
19.08	105.5
18.71	106
18.00	107.2
16.87	109.5
16.56	110.2
15.95	111.4
15.37	112.4
15.08	113.5
14.54	114.4
14.01	116
13.52	117
13.28	118
12.81	119.1
12.16	121.2
11.94	122.2
11.26	124.2
11.07	124.5
10.88	125.2
10.52	126.2
10.34	127.2
9.846	129.2
9.525	130.3
9.108	132.2
8.955	132.8
8.812	133.4
8.672	134.3
8.216	136.2
8.082	136.7
7.599	139.0
7.372	140.0
7.140	141.5
7.040	142.4
6.622	144.3
6.437	145.8
6.342	146.2
6.071	147.9
5.988	149
5.576	151.5
5.498	152.2
5.136	155
5.06	156
4.864	157.4
4.794	158.3
4.61	159.7
4.547	160.7
4.488	161.1
4.262	163.7
4.209	164.2
4.102	165
3.996	166.4
3.900	167.3
3.849	168.2
3.802	168.6
3.851	168.4
3.755	169.2
3.618	170.9
3.49	172.6
3.35	174
3.272	175.2
3.196	176.7
3.159	177.2
3.017	179.3
2.982	180.3
2.946	180.7
2.914	181
2.786	183.3
2.727	184.1
2.637	185.6
2.568	186.9
2.486	188.2
2.455	188.6
2.459	189.2
2.407	190.4
2.307	191.9
2.284	192.6
2.214	193.8
2.104	196.2
2.041	197.7
1.981	199.2
1.924	200.5
1.851	202.6
1.816	203.2
1.782	204.6
1.732	205.7
1.712	206.6
1.669	207.5
1.639	208.7
1.609	209.7
1.582	210.7
