  //PID cohen coon
  Kp = 0.4321;
  Ki = 0.0578;
  Kd  =0.1596;
  
Greetings, Human!
Sampling every 200 ms
Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
0,51.50,0.00
1,50.90,0.00
2,51.10,0.00
3,51.00,0.00
4,50.90,0.00
5,51.50,0.00
6,51.60,0.00
7,51.30,0.00
8,51.20,0.00
9,51.30,0.00
10,53.10,0.00
11,51.80,0.00
12,52.40,0.00
13,51.50,0.00
14,52.40,0.00
15,53.10,0.00
16,51.80,0.00
17,52.00,0.00
18,51.80,0.00
19,51.60,0.00
20,51.30,0.00
21,51.80,0.00
22,52.40,0.00
23,52.90,0.00
24,52.00,0.00
25,52.30,0.00
26,52.60,0.00
27,52.40,0.00
28,52.00,0.00
29,52.40,0.00
30,52.80,0.00
31,52.90,0.00
32,52.80,0.00
33,52.90,0.00
34,52.60,0.00
35,53.10,0.00
36,52.80,0.00
37,53.10,0.00
38,53.00,0.00
39,54.30,0.00
40,53.30,0.00
41,52.90,0.00
42,53.30,0.00
43,53.10,0.00
44,53.40,0.00
45,53.50,0.00
46,53.80,0.00
47,53.60,0.00
48,53.30,0.00
49,53.80,0.00
50,53.80,0.00
51,55.20,0.00
52,54.00,0.00
53,54.30,0.00
54,54.00,0.00
55,54.20,0.00
56,55.90,0.00
57,54.40,0.00
58,54.00,0.00
59,54.70,0.00
60,54.50,0.00
61,54.60,0.00
62,55.00,0.00
63,54.90,0.00
64,54.80,0.00
65,54.60,0.00
66,54.50,0.00
67,55.70,0.00
68,56.50,0.00
69,55.30,0.00
70,55.20,0.00
71,55.30,0.00
72,55.30,0.00
73,56.30,0.00
74,55.60,0.00
75,55.50,0.00
76,55.90,0.00
77,57.40,0.00
78,55.70,0.00
79,57.30,0.00
80,55.70,0.00
81,56.10,0.00
82,56.20,0.00
83,57.90,0.00
84,56.50,0.00
85,56.20,0.00
86,56.30,0.00
87,56.40,0.00
88,56.80,0.00
89,56.50,0.00
90,56.50,0.00
91,56.90,0.00
92,56.90,0.00
93,57.00,0.00
94,57.30,0.00
95,57.10,0.00
96,57.10,0.00
97,57.40,0.00
98,57.20,0.00
99,57.30,0.00
100,57.50,0.00
101,57.50,0.00
102,57.40,0.00
103,57.90,0.00
104,58.20,0.00
105,58.00,0.00
106,58.20,0.00
107,58.00,0.00
108,58.50,0.00
109,58.30,0.00
110,59.70,0.00
111,58.60,0.00
112,59.40,0.00
113,58.80,0.00
114,58.60,0.00
115,58.90,0.00
116,59.00,0.00
117,58.70,0.00
118,59.00,0.00
119,59.10,0.00
120,59.10,0.00
121,59.30,0.00
122,59.60,0.00
123,59.60,0.00
124,59.50,0.00
125,59.60,0.00
126,60.20,0.00
127,60.00,0.00
128,60.60,0.00
129,60.10,0.00
130,60.10,0.00
131,61.50,0.00
132,60.50,0.00
133,60.20,0.00
134,60.70,0.00
135,60.70,0.00
136,60.70,0.00
137,60.60,0.00
138,60.80,0.00
139,61.00,0.00
140,61.00,0.00
141,61.20,0.00
142,61.20,0.00
143,61.10,0.00
144,61.60,0.00
145,62.60,0.00
146,61.70,0.00
147,61.60,0.00
148,62.30,0.00
149,63.20,0.00
150,61.80,0.00
151,62.90,0.00
152,62.10,0.00
153,62.20,0.00
154,63.30,0.00
155,62.60,0.00
156,62.60,0.00
157,62.80,0.00
158,62.80,0.00
159,62.70,0.00
160,62.80,0.00
161,62.90,0.00
162,64.30,0.00
163,63.30,0.00
164,63.50,0.00
165,63.50,0.00
166,63.50,0.00
167,63.70,0.00
168,64.00,0.00
169,64.40,0.00
170,64.00,0.00
171,64.20,0.00
172,64.70,0.00
173,64.40,0.00
174,64.50,0.00
175,64.60,0.00
176,64.40,0.00
177,64.60,0.00
178,65.10,0.00
179,64.80,0.00
180,65.70,0.00
181,65.70,0.00
182,65.20,0.00
183,65.10,0.00
184,65.50,0.00
185,65.80,0.00
186,65.40,0.00
187,65.40,0.00
188,65.80,0.00
189,65.70,0.00
190,66.10,0.00
191,66.20,0.00
192,66.40,0.00
193,66.20,0.00
194,65.90,0.00
195,67.70,0.00
196,66.60,0.00
197,67.50,0.00
198,66.80,0.00
199,67.00,0.00
200,67.40,0.00
201,67.30,0.00
202,67.60,0.00
203,67.30,0.00
204,67.40,0.00
205,67.50,0.00
206,67.90,0.00
207,68.00,0.00
208,67.80,0.00
209,69.30,0.00
210,68.30,0.00
211,68.40,0.00
212,69.20,0.00
213,69.10,0.00
214,68.70,0.00
215,68.70,0.00
216,69.70,0.00
217,69.10,0.00
218,69.30,0.00
219,69.10,0.00
220,69.70,0.00
221,69.60,0.00
222,70.50,0.00
223,69.90,0.00
224,70.10,0.00
225,70.20,0.00
226,70.80,0.00
227,70.60,0.00
228,70.70,0.00
229,70.50,0.00
230,70.80,0.00
231,70.90,0.00
232,71.00,0.00
233,71.60,0.00
234,71.30,0.00
235,71.40,0.00
236,71.60,0.00
237,71.70,0.00
238,71.30,0.00
239,71.90,0.00
240,72.10,0.00
241,72.20,0.00
242,72.70,0.00
243,72.50,0.00
244,72.50,0.00
245,72.60,0.00
246,72.70,0.00
247,72.60,0.00
248,73.20,0.00
249,73.40,0.00
250,73.30,0.00
251,73.40,0.00
252,73.80,0.00
253,73.40,0.00
254,73.80,0.00
255,73.90,0.00
256,74.20,0.00
257,74.80,0.00
258,74.30,0.00
259,74.40,0.00
260,74.60,0.00
261,74.80,0.00
262,75.90,0.00
263,74.90,0.00
264,75.10,0.00
265,75.80,0.00
266,75.50,0.00
267,75.30,0.00
268,75.70,0.00
269,75.50,0.00
270,76.00,0.00
271,76.00,0.00
272,76.30,0.00
273,76.30,0.00
274,76.30,0.00
275,76.30,0.00
276,76.70,0.00
277,76.70,0.00
278,76.80,0.00
279,77.20,0.00
280,77.20,0.00
281,77.40,0.00
282,77.70,0.00
283,77.40,0.00
284,78.40,0.00
285,78.10,0.00
286,78.10,0.00
287,79.10,0.00
288,78.40,0.00
289,78.60,0.00
290,78.50,0.00
291,79.10,0.00
292,79.20,0.00
293,79.10,0.00
294,79.30,0.00
295,79.70,0.00
296,79.60,0.00
297,79.30,0.00
298,79.80,0.00
299,79.60,0.00
300,79.50,0.00
301,80.10,0.00
302,80.20,0.00
303,80.30,0.00
304,80.70,0.00
305,80.60,0.00
306,80.70,0.00
307,80.60,0.00
308,81.00,0.00
309,81.60,0.00
310,81.30,0.00
311,81.00,0.00
312,81.70,0.00
313,81.80,0.00
314,81.40,0.00
315,81.60,0.00
316,82.30,0.00
317,82.40,0.00
318,82.50,0.00
319,82.70,0.00
320,82.60,0.00
321,82.70,0.00
322,82.90,0.00
323,83.20,0.00
324,83.10,0.00
325,83.30,0.00
326,83.50,0.00
327,83.70,0.00
328,83.60,0.00
329,83.90,0.00
330,84.20,0.00
331,84.80,0.00
332,84.40,0.00
333,84.10,0.00
334,84.60,0.00
335,84.50,0.00
336,85.90,0.00
337,85.00,0.00
338,85.20,0.00
339,85.20,0.00
340,85.40,0.00
341,85.60,0.00
342,85.90,0.00
343,86.10,0.00
344,86.50,0.00
345,87.10,0.00
346,86.60,0.00
347,86.40,0.00
348,86.60,0.00
349,86.50,0.00
350,87.40,0.00
351,87.20,0.00
352,87.00,0.00
353,87.40,0.00
354,87.90,0.00
355,88.50,0.00
356,87.70,0.00
357,88.20,0.00
358,88.20,0.00
359,88.20,0.00
360,88.70,0.00
361,88.90,0.00
362,88.60,0.00
363,89.20,0.00
364,89.20,0.00
365,89.00,0.00
366,89.00,0.00
367,89.70,0.00
368,89.50,0.00
369,90.20,0.00
370,90.00,0.00
371,90.30,0.00
372,90.40,0.00
373,90.70,0.00
374,90.60,0.00
375,90.70,0.00
376,90.90,0.00
377,90.90,0.00
378,91.40,0.00
379,91.30,0.00
380,91.30,0.00
381,91.70,0.00
382,91.90,0.00
383,92.50,0.00
384,92.00,0.00
385,92.20,0.00
386,92.10,0.00
387,92.70,0.00
388,92.80,0.00
389,93.10,0.00
390,93.20,0.00
391,93.30,0.00
392,93.50,0.00
393,93.60,0.00
394,93.60,0.00
395,94.00,0.00
396,93.60,0.00
397,94.90,0.00
398,94.50,0.00
399,94.60,0.00
400,94.80,0.00
401,94.90,0.00
402,94.60,0.00
403,95.10,0.00
404,95.50,0.00
