  //PID cohen coon
  Kp = 4.321;
  Ki = 0.578;
  Kd = 1.596;


Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
0,53.40,0.00
1,54.20,0.00
2,54.00,0.00
3,53.80,0.00
4,53.80,0.00
5,54.10,0.00
6,54.20,0.00
7,54.20,0.00
8,55.50,0.00
9,53.70,0.00
10,53.90,0.00
11,54.10,0.00
12,54.60,0.00
13,54.30,0.00
14,54.30,0.00
15,54.40,0.00
16,54.30,0.00
17,54.60,0.00
18,54.20,0.00
19,54.50,0.00
20,54.50,0.00
21,56.00,0.00
22,54.60,0.00
23,55.30,0.00
24,55.80,0.00
25,54.80,0.00
26,55.30,0.00
27,54.80,0.00
28,55.10,0.00
29,55.20,0.00
30,55.40,0.00
31,54.70,0.00
32,55.50,0.00
33,55.10,0.00
34,55.00,0.00
35,56.20,0.00
36,55.90,0.00
37,55.60,0.00
38,55.60,0.00
39,55.90,0.00
40,56.20,0.00
41,57.20,0.00
42,56.40,0.00
43,55.80,0.00
44,56.20,0.00
45,56.10,0.00
46,56.60,0.00
47,56.00,0.00
48,56.60,0.00
49,56.70,0.00
50,56.20,0.00
51,56.80,0.00
52,56.90,0.00
53,56.60,0.00
54,56.80,0.00
55,56.80,0.00
56,56.50,0.00
57,56.50,0.00
58,56.80,0.00
59,57.10,0.00
60,57.10,0.00
61,57.10,0.00
62,57.40,0.00
63,57.50,0.00
64,57.40,0.00
65,57.80,0.00
66,57.50,0.00
67,57.70,0.00
68,57.20,0.00
69,58.10,0.00
70,58.10,0.00
71,57.50,0.00
72,58.10,0.00
73,59.00,0.00
74,58.20,0.00
75,58.10,0.00
76,58.50,0.00
77,58.50,0.00
78,58.20,0.00
79,58.80,0.00
80,58.60,0.00
81,58.60,0.00
82,58.70,0.00
83,58.90,0.00
84,60.00,0.00
85,59.10,0.00
86,58.90,0.00
87,59.60,0.00
88,59.50,0.00
89,59.40,0.00
90,59.50,0.00
91,59.50,0.00
92,59.40,0.00
93,59.50,0.00
94,59.70,0.00
95,59.70,0.00
96,59.80,0.00
97,60.00,0.00
98,60.20,0.00
99,60.10,0.00
100,60.30,0.00
101,60.70,0.00
102,61.80,0.00
103,60.50,0.00
104,60.50,0.00
105,60.70,0.00
106,60.80,0.00
107,60.80,0.00
108,60.90,0.00
109,61.80,0.00
110,61.00,0.00
111,61.10,0.00
112,61.20,0.00
113,61.30,0.00
114,61.50,0.00
115,63.00,0.00
116,61.60,0.00
117,61.70,0.00
118,61.60,0.00
119,62.00,0.00
120,61.80,0.00
121,62.10,0.00
122,61.80,0.00
123,62.40,0.00
124,62.40,0.00
125,62.50,0.00
126,62.70,0.00
127,62.80,0.00
128,63.60,0.00
129,62.70,0.00
130,62.60,0.00
131,62.60,0.00
132,63.50,0.00
133,63.30,0.00
134,63.00,0.00
135,63.20,0.00
136,63.20,0.00
137,63.30,0.00
138,63.70,0.00
139,63.70,0.00
140,64.80,0.00
141,63.90,0.00
142,63.60,0.00
143,64.20,0.00
144,63.60,0.00
145,64.00,0.00
146,64.50,0.00
147,64.60,0.00
148,65.10,0.00
149,64.50,0.00
150,65.70,0.00
151,64.40,0.00
152,64.70,0.00
153,64.90,0.00
154,66.30,0.00
155,65.10,0.00
156,65.50,0.00
157,65.60,0.00
158,65.20,0.00
159,65.50,0.00
160,66.40,0.00
161,65.40,0.00
162,66.60,0.00
163,66.20,0.00
164,65.70,0.00
165,66.30,0.00
166,66.30,0.00
167,66.30,0.00
168,66.60,0.00
169,66.50,0.00
170,66.70,0.00
171,66.80,0.00
172,66.80,0.00
173,68.50,0.00
174,67.40,0.00
175,68.40,0.00
176,67.40,0.00
177,67.20,0.00
178,67.50,0.00
179,67.50,0.00
180,67.90,0.00
181,67.90,0.00
182,67.70,0.00
183,68.10,0.00
184,68.10,0.00
185,68.20,0.00
186,69.10,0.00
187,68.60,0.00
188,68.60,0.00
189,68.70,0.00
190,68.70,0.00
191,69.10,0.00
192,69.80,0.00
193,69.60,0.00
194,69.10,0.00
195,69.40,0.00
196,69.60,0.00
197,69.50,0.00
198,69.40,0.00
199,70.30,0.00
200,69.70,0.00
201,70.20,0.00
202,70.20,0.00
203,70.00,0.00
204,70.30,0.00
205,70.60,0.00
206,71.00,0.00
207,70.60,0.00
208,70.80,0.00
209,70.40,0.00
210,71.00,0.00
211,71.20,0.00
212,71.30,0.00
213,71.70,0.00
214,72.30,0.00
215,71.60,0.00
216,72.70,0.00
217,71.80,0.00
218,72.30,0.00
219,72.30,0.00
220,72.20,0.00
221,73.40,0.00
222,72.30,0.00
223,72.70,0.00
224,72.70,0.00
225,73.00,0.00
226,72.90,0.00
227,73.10,0.00
228,73.30,0.00
229,73.30,0.00
230,73.40,0.00
231,73.50,0.00
232,73.50,0.00
233,73.40,0.00
234,74.00,0.00
235,74.20,0.00
236,73.80,0.00
237,74.40,0.00
238,74.30,0.00
239,74.40,0.00
240,74.70,0.00
241,74.70,0.00
242,74.70,0.00
243,74.80,0.00
244,75.10,0.00
245,75.20,0.00
246,75.40,0.00
247,75.60,0.00
248,75.50,0.00
249,75.70,0.00
250,75.90,0.00
251,75.90,0.00
252,76.10,0.00
253,76.00,0.00
254,76.20,0.00
255,76.50,0.00
256,76.80,0.00
257,76.90,0.00
258,76.90,0.00
259,76.70,0.00
260,77.20,0.00
261,78.40,0.00
262,77.40,0.00
263,78.10,0.00
264,78.10,0.00
265,77.80,0.00
266,77.80,0.00
267,78.20,0.00
268,78.30,0.00
269,78.40,0.00
270,78.60,0.00
271,78.70,0.00
272,78.60,0.00
273,78.80,0.00
274,79.90,0.00
275,79.10,0.00
276,79.20,0.00
277,79.40,0.00
278,79.60,0.00
279,79.60,0.00
280,80.10,0.00
281,79.90,0.00
282,81.00,0.00
283,80.30,0.00
284,80.30,0.00
285,80.50,0.00
286,80.70,0.00
287,80.80,0.00
288,80.90,0.00
289,81.20,0.00
290,81.00,0.00
291,81.50,0.00
292,81.50,0.00
293,81.60,0.00
294,81.80,0.00
295,82.00,0.00
296,82.00,0.00
297,82.90,0.00
298,82.60,0.00
299,82.50,0.00
300,82.60,0.00
301,82.70,0.00
302,83.80,0.00
303,83.60,0.00
304,83.10,0.00
305,83.30,0.00
306,83.60,0.00
307,83.60,0.00
308,83.70,0.00
309,83.90,0.00
310,84.00,0.00
311,84.20,0.00
312,84.80,0.00
313,84.30,0.00
314,85.00,0.00
315,84.70,0.00
316,84.90,0.00
317,85.00,0.00
318,85.20,0.00
319,85.20,0.00
320,85.50,0.00
321,85.60,0.00
322,85.40,0.00
323,85.60,0.00
324,86.00,0.00
325,86.70,0.00
326,86.40,0.00
327,86.60,0.00
328,87.10,0.00
329,86.50,0.00
330,87.00,0.00
331,86.70,0.00
332,86.90,0.00
333,87.10,0.00
334,87.50,0.00
335,88.40,0.00
336,87.70,0.00
337,87.60,0.00
338,87.80,0.00
339,88.10,0.00
340,88.80,0.00
341,89.20,0.00
342,88.40,0.00
343,88.60,0.00
344,88.80,0.00
345,88.90,0.00
346,89.20,0.00
347,90.10,0.00
348,90.00,0.00
349,89.60,0.00
350,89.50,0.00
351,89.50,0.00
352,90.00,0.00
353,90.10,0.00
354,90.30,0.00
355,90.70,0.00
356,90.60,0.00
357,90.80,0.00
358,90.50,0.00
359,90.80,0.00
360,91.60,0.00
361,91.40,0.00
362,91.40,0.00
363,91.60,0.00
364,91.80,0.00
365,91.90,0.00
366,91.80,0.00
367,92.20,0.00
368,92.60,0.00
369,92.50,0.00
370,92.40,0.00
371,92.80,0.00
372,92.80,0.00
373,93.00,0.00
374,92.90,0.00
375,93.40,0.00
376,94.00,0.00
377,93.60,0.00
378,93.50,0.00
379,94.10,0.00
380,94.20,0.00
381,94.20,0.00
382,94.40,0.00
383,94.40,0.00
384,95.10,0.00
385,94.60,0.00
386,95.20,0.00
387,95.00,0.00
388,95.90,0.00
389,95.40,0.00
390,95.00,0.00
391,95.60,0.00
392,95.90,0.00
393,96.10,0.00
394,96.20,0.00
395,96.00,0.00
396,97.40,2.60
397,96.40,0.00
398,96.70,0.00
399,96.80,0.00
400,97.50,0.00
401,97.50,0.00
402,97.60,0.00
403,97.60,0.00
404,97.90,0.00
405,97.90,0.00
406,97.80,0.00
407,98.30,0.00
408,98.30,0.00
409,98.50,0.00
410,98.80,0.00
411,99.00,0.00
412,99.10,0.00
413,99.50,1.03
414,99.30,0.00
415,99.60,1.46
416,99.80,4.46
417,99.80,0.00
418,100.00,2.13
419,100.10,0.00
420,100.00,0.00
421,100.60,9.05
422,100.80,6.84
423,101.10,8.23
424,101.10,5.13
425,101.40,9.84
426,101.90,14.29
427,101.60,4.62
428,101.60,7.95
429,101.80,9.13
430,102.10,13.80
431,102.40,15.49
432,102.50,14.01
433,102.60,14.67
434,102.70,15.56
435,103.20,22.25
436,103.10,15.70
437,103.20,12.48
438,103.40,21.09
439,104.00,28.28
440,103.70,21.24
441,104.00,26.08
442,103.90,21.73
443,104.40,27.83
444,104.30,24.57
445,104.60,30.52
446,104.50,25.57
447,104.90,34.11
448,105.10,33.29
449,105.10,32.04
450,105.30,35.49
451,105.40,35.33
452,105.70,41.83
453,106.00,41.52
454,105.90,37.34
455,106.10,41.38
456,106.10,40.85
457,106.40,45.89
458,106.40,43.25
459,106.70,46.77
460,106.40,41.77
461,107.60,58.85
462,107.10,44.54
463,107.20,51.98
464,107.50,56.05
465,107.60,56.72
466,107.80,58.26
467,107.90,57.94
468,108.40,66.14
469,108.30,60.05
470,108.30,60.44
471,108.50,66.30
472,109.00,72.43
473,108.80,69.88
474,109.20,74.54
475,109.20,71.08
476,109.60,76.58
477,109.70,76.79
478,109.70,76.57
479,109.90,80.20
480,109.70,76.99
481,110.70,95.01
482,110.30,84.42
483,110.50,88.33
484,110.50,87.11
485,110.20,83.50
486,111.10,97.79
487,111.10,93.43
488,111.20,95.80
489,112.10,110.32
490,111.70,95.77
491,111.70,104.17
492,111.80,104.56
493,111.90,106.02
494,112.20,110.48
495,112.60,115.43
496,112.40,109.26
497,112.60,115.49
498,112.40,112.51
499,112.80,121.73
500,113.00,121.59
501,113.00,121.72
502,113.70,133.38
503,113.20,122.89
504,113.40,130.24
505,113.60,132.28
506,113.90,135.97
507,114.00,136.55
508,114.00,136.70
509,114.20,141.09
510,114.30,142.76
511,114.30,142.93
512,114.40,145.68
513,114.60,151.18
514,114.70,150.75
515,114.50,148.17
516,115.00,160.15
517,115.20,159.14
518,115.60,163.55
519,115.40,159.77
520,115.70,167.75
521,115.50,165.32
522,115.60,169.23
523,115.80,172.53
524,115.80,171.77
525,115.60,171.50
526,116.40,187.02
527,116.30,178.43
528,116.40,188.04
529,116.50,185.65
530,116.70,189.03
531,116.90,197.03
532,116.80,190.60
533,117.80,208.17
534,117.10,197.47
535,117.70,207.98
536,117.20,195.61
537,117.40,207.98
538,117.30,204.79
539,117.40,208.86
540,117.70,212.16
541,117.70,213.69
542,117.70,215.23
543,118.00,220.70
544,118.00,221.20
545,118.10,224.26
546,118.20,224.68
547,118.30,229.89
548,118.60,234.92
549,118.40,229.84
550,118.80,241.71
551,118.70,237.58
552,119.70,249.54
553,118.80,234.52
554,119.00,248.73
555,119.20,251.85
556,119.20,252.45
557,119.20,254.12
558,119.30,255.00
559,119.60,255.00
560,119.50,255.00
561,119.70,255.00
562,119.70,255.00
563,119.70,255.00
564,120.00,255.00
565,119.90,255.00
566,120.00,255.00
567,120.20,255.00
568,120.40,255.00
569,120.10,255.00
570,120.10,255.00
571,120.10,255.00
572,120.40,255.00
573,120.30,255.00
574,120.30,255.00
575,120.60,255.00
576,120.50,255.00
577,121.20,255.00
578,120.80,255.00
579,120.70,255.00
580,120.90,255.00
581,121.00,255.00
582,120.90,255.00
583,121.00,255.00
584,121.10,255.00
585,121.10,255.00
586,121.60,255.00
587,121.20,255.00
588,121.20,255.00
589,122.10,255.00
590,121.20,255.00
591,121.40,255.00
592,121.30,255.00
593,121.60,255.00
594,121.60,255.00
595,122.10,255.00
596,121.60,255.00
597,121.50,255.00
598,121.50,255.00
599,121.90,255.00
600,121.70,255.00
601,121.70,255.00
602,121.60,255.00
603,122.10,255.00
604,123.00,255.00
605,121.90,255.00
606,121.90,255.00
607,122.20,255.00
608,121.80,255.00
609,122.30,255.00
610,122.30,255.00
611,122.50,255.00
612,122.30,255.00
613,122.30,255.00
614,122.30,255.00
615,122.40,255.00
616,122.40,255.00
617,122.30,255.00
618,122.50,255.00
619,122.70,255.00
620,122.60,255.00
621,122.60,255.00
622,122.70,255.00
623,123.30,255.00
624,122.60,255.00
625,122.70,255.00
626,122.70,255.00
627,122.90,255.00
628,123.00,255.00
629,123.00,255.00
630,123.00,255.00
631,122.50,255.00
632,122.90,255.00
633,123.10,255.00
634,122.80,255.00
635,123.90,255.00
636,123.00,255.00
637,122.80,255.00
638,123.00,255.00
639,123.30,255.00
640,123.20,255.00
641,123.20,255.00
642,123.40,255.00
643,123.40,255.00
644,123.40,255.00
645,123.20,255.00
646,123.10,255.00
647,123.50,255.00
648,123.60,255.00
649,123.60,255.00
650,123.50,255.00
651,124.30,255.00
652,123.80,255.00
653,123.30,255.00
654,123.60,255.00
655,123.70,255.00
656,123.50,255.00
657,123.50,255.00
658,123.30,255.00
659,124.10,255.00
660,123.70,255.00
661,123.70,255.00
662,124.30,255.00
663,123.80,255.00
664,123.70,255.00
665,124.10,255.00
666,123.80,255.00
667,123.60,255.00
668,124.10,255.00
669,124.00,255.00
670,124.00,255.00
671,124.80,255.00
672,124.00,255.00
673,123.90,255.00
674,124.00,255.00
675,124.10,255.00
676,124.10,255.00
677,124.10,255.00
678,123.90,255.00
679,124.10,255.00
680,123.80,255.00
681,124.10,255.00
682,123.80,255.00
683,123.90,255.00
684,123.90,255.00
685,124.10,255.00
686,124.30,255.00
687,124.00,255.00
688,124.30,255.00
689,123.90,255.00
690,124.00,255.00
691,124.10,255.00
692,124.20,255.00
693,124.10,255.00
694,124.20,255.00
695,124.20,255.00
696,124.70,255.00
697,124.30,255.00
698,123.90,255.00
699,124.40,255.00
700,124.20,255.00
701,124.20,255.00
702,124.30,255.00
703,124.40,255.00
704,124.10,255.00
705,124.40,255.00
706,125.00,255.00
707,124.40,255.00
708,124.30,255.00
709,124.10,255.00
710,124.50,255.00
711,124.50,255.00
712,124.50,255.00
713,124.30,255.00
714,124.10,255.00
715,124.30,255.00
716,124.30,255.00
717,124.40,255.00
718,125.00,255.00
719,124.50,255.00
720,124.80,255.00
721,124.30,255.00
722,124.30,255.00
723,124.40,255.00
724,124.40,255.00
725,124.30,255.00
726,124.50,255.00
727,123.80,255.00
728,124.40,255.00
729,123.90,255.00
730,124.40,255.00
731,124.70,255.00
732,124.50,255.00
733,124.40,255.00
734,124.50,255.00
735,124.50,255.00
736,124.60,255.00
737,124.10,255.00
738,124.60,255.00
739,124.60,255.00
740,125.00,255.00
741,124.50,255.00
742,124.90,255.00
743,124.50,255.00
744,124.50,255.00
745,124.50,255.00
746,124.50,255.00
747,124.50,255.00
748,124.60,255.00
749,124.50,255.00
750,124.60,255.00
751,125.10,255.00
752,124.50,255.00
753,124.50,255.00
754,124.50,255.00
755,124.50,255.00
756,124.50,255.00
757,124.50,255.00
758,124.40,255.00
759,124.50,255.00
760,125.00,255.00
761,124.70,255.00
762,124.60,255.00
763,124.50,255.00
764,124.60,255.00
765,124.50,255.00
766,124.30,255.00
767,124.60,255.00
768,124.60,255.00
769,125.10,255.00
770,124.70,255.00
771,124.30,255.00
772,125.10,255.00
773,124.60,255.00
774,124.60,255.00
775,124.50,255.00
776,124.60,255.00
777,125.40,255.00
778,124.50,255.00
779,124.50,255.00
780,124.50,255.00
781,124.50,255.00
782,124.80,255.00
783,124.50,255.00
784,124.50,255.00
785,124.20,255.00
786,124.50,255.00
787,124.30,255.00
788,124.40,255.00
789,124.50,255.00
790,124.30,255.00
791,124.50,255.00
792,124.00,255.00
793,124.40,255.00
794,124.30,255.00
795,124.20,255.00
796,124.00,255.00
797,124.30,255.00
798,124.30,255.00
799,124.30,255.00
800,124.20,255.00
801,124.30,255.00
802,124.10,255.00
803,124.20,255.00
804,124.10,255.00
805,124.30,255.00
806,124.30,255.00
807,124.00,255.00
808,123.90,255.00
809,124.00,255.00
810,123.90,255.00
811,123.60,255.00
812,124.00,255.00
813,124.90,255.00
814,124.00,255.00
815,123.70,255.00
816,123.90,255.00
817,123.90,255.00
818,123.90,255.00
819,123.90,255.00
820,123.80,255.00
821,123.60,255.00
822,124.20,255.00
823,123.90,255.00
824,123.70,255.00
825,123.70,255.00
826,123.60,255.00
827,123.50,255.00
828,123.40,255.00
829,124.40,255.00
830,123.40,255.00
831,123.50,255.00
832,123.60,255.00
833,123.50,255.00
834,123.40,255.00
835,123.50,255.00
836,124.20,255.00
837,123.70,255.00
838,123.50,255.00
839,123.00,255.00
840,123.30,255.00
841,123.40,255.00
842,123.30,255.00
843,123.30,255.00
844,123.30,255.00
845,123.70,255.00
846,123.30,255.00
847,123.30,255.00
848,123.30,255.00
849,123.00,255.00
850,123.40,255.00
851,123.80,255.00
852,123.20,255.00
853,123.40,255.00
854,123.20,255.00
855,122.80,255.00
856,123.30,255.00
857,123.10,255.00
858,123.20,255.00
859,122.90,255.00
860,123.10,255.00
861,123.20,255.00
862,123.20,255.00
863,123.60,255.00
864,122.70,255.00
865,123.10,255.00
866,123.00,255.00
867,123.00,255.00
868,123.00,255.00
869,123.10,255.00
870,122.70,255.00
871,123.00,255.00
872,123.00,255.00
873,123.00,255.00
874,122.50,255.00
875,123.00,255.00
876,122.80,255.00
877,122.90,255.00
878,122.80,255.00
879,122.70,255.00
880,123.00,255.00
881,123.20,255.00
882,123.00,255.00
883,122.80,255.00
884,123.00,255.00
885,122.70,255.00
886,123.60,255.00
887,123.00,255.00
888,123.00,255.00
889,123.20,255.00
890,122.70,255.00
891,122.80,255.00
892,123.00,255.00
893,122.70,255.00
894,122.70,255.00
895,122.70,255.00
896,122.80,255.00
897,122.70,255.00
898,122.60,255.00
899,122.50,255.00
900,122.30,255.00
901,122.50,255.00
902,122.40,255.00
903,122.40,255.00
904,123.00,255.00
905,122.50,255.00
906,122.20,255.00
907,122.30,255.00
908,122.50,255.00
909,122.10,255.00
910,122.40,255.00
911,122.30,255.00
912,122.40,255.00
913,122.10,255.00
914,122.60,255.00
915,122.00,255.00
916,122.20,255.00
917,122.30,255.00
918,121.90,255.00
919,122.10,255.00
920,122.10,255.00
921,122.10,255.00
922,122.50,255.00
923,122.00,255.00
924,121.90,255.00
925,121.60,255.00
926,122.00,255.00
927,121.70,255.00
928,121.90,255.00
929,121.90,255.00
930,121.60,255.00
931,121.80,255.00
932,121.70,255.00
933,121.70,255.00
934,121.80,255.00
935,122.00,255.00
936,121.70,255.00
937,122.20,255.00
938,122.10,255.00
939,121.90,255.00
940,121.50,255.00
941,121.50,255.00
942,121.60,255.00
943,121.20,255.00
944,121.50,255.00
945,121.50,255.00
946,121.40,255.00
947,121.10,255.00
948,121.70,255.00
949,121.40,255.00
950,121.20,255.00
951,121.30,255.00
952,121.40,255.00
953,121.10,255.00
954,121.30,255.00
955,121.50,255.00
956,121.20,255.00
957,121.10,255.00
958,120.50,255.00
959,120.80,255.00
960,120.60,255.00
961,121.10,255.00
962,120.90,255.00
963,120.90,255.00
964,121.20,255.00
965,120.90,255.00
966,121.40,255.00
967,120.80,255.00
968,121.00,255.00
969,120.70,255.00
970,121.40,255.00
971,120.60,255.00
972,120.80,255.00
973,120.40,255.00
974,120.60,255.00
975,121.50,255.00
976,120.70,255.00
977,121.20,255.00
978,120.40,255.00
979,120.50,255.00
980,120.40,255.00
981,120.40,255.00
982,120.50,255.00
983,120.40,255.00
984,120.40,255.00
985,120.20,255.00
986,120.50,255.00
987,120.60,255.00
988,121.00,255.00
989,120.30,255.00
990,120.10,255.00
991,120.30,255.00
992,120.30,255.00
993,120.30,255.00
994,120.30,255.00
995,120.00,255.00
996,120.00,255.00
997,120.00,255.00
998,120.10,255.00
999,120.10,255.00
1000,120.30,255.00
1001,120.10,255.00
1002,120.00,255.00
1003,119.80,255.00
1004,120.00,255.00
1005,120.00,255.00
1006,120.30,255.00
1007,119.80,255.00
1008,119.90,255.00
1009,120.00,255.00
1010,119.90,255.00
1011,119.80,255.00
1012,119.90,255.00
1013,120.00,255.00
1014,119.90,255.00
1015,119.90,255.00
1016,119.80,255.00
1017,119.90,255.00
1018,119.70,255.00
1019,119.50,255.00
1020,119.80,255.00
1021,120.40,255.00
1022,119.70,255.00
1023,119.70,255.00
1024,119.50,255.00
1025,119.60,255.00
1026,119.70,255.00
1027,119.70,255.00
1028,119.70,255.00
1029,119.70,255.00
1030,119.30,255.00
1031,119.70,255.00
1032,119.50,255.00
1033,119.40,255.00
1034,119.40,255.00
1035,119.50,255.00
1036,119.30,255.00
1037,119.30,255.00
1038,119.60,255.00
1039,119.40,255.00
1040,119.30,255.00
1041,118.90,255.00
1042,119.20,255.00
1043,119.50,255.00
1044,119.10,255.00
1045,119.20,255.00
1046,119.30,255.00
1047,119.70,255.00
1048,119.40,255.00
1049,119.70,255.00
1050,119.20,255.00
1051,119.30,255.00
1052,119.20,255.00
1053,119.10,255.00
1054,119.50,255.00
1055,119.10,255.00
1056,119.70,255.00
1057,119.20,255.00
1058,118.90,255.00
1059,119.00,255.00
1060,119.00,255.00
1061,119.00,255.00
1062,118.80,255.00
1063,118.70,255.00
1064,119.20,255.00
1065,119.70,255.00
1066,118.80,255.00
1067,118.90,255.00
1068,119.30,255.00
1069,119.40,255.00
1070,118.70,255.00
1071,118.60,255.00
1072,118.50,255.00
1073,119.30,255.00
1074,118.90,255.00
1075,118.50,255.00
1076,118.60,255.00
1077,118.60,255.00
1078,118.40,255.00
1079,118.40,255.00
1080,118.40,255.00
1081,118.50,255.00
1082,118.50,255.00
1083,119.00,255.00
1084,118.30,255.00
1085,118.10,255.00
1086,118.60,255.00
1087,118.30,255.00
1088,118.10,255.00
1089,118.30,255.00
1090,118.30,255.00
1091,118.40,255.00
1092,118.20,255.00
1093,118.10,255.00
1094,118.20,255.00
1095,118.20,255.00
1096,117.90,255.00
1097,117.90,255.00
1098,118.10,255.00
1099,117.70,255.00
1100,117.90,255.00
1101,117.50,255.00
1102,117.80,255.00
1103,117.80,255.00
1104,118.20,255.00
1105,117.80,255.00
1106,117.60,255.00
1107,117.70,255.00
1108,117.70,255.00
1109,117.70,255.00
1110,117.40,255.00
1111,117.60,255.00
1112,117.50,255.00
1113,117.70,255.00
1114,117.60,255.00
1115,117.80,255.00
1116,117.50,255.00
1117,117.40,255.00
1118,117.30,255.00
1119,117.80,255.00
1120,117.20,255.00
1121,117.20,255.00
1122,117.20,255.00
1123,116.90,255.00
1124,117.50,255.00
1125,116.80,255.00
1126,116.90,255.00
1127,116.90,255.00
1128,116.60,255.00
1129,116.70,255.00
1130,116.80,255.00
1131,116.70,255.00
1132,116.90,255.00
1133,117.30,255.00
1134,116.60,255.00
1135,116.70,255.00
1136,116.40,255.00
1137,116.40,255.00
1138,116.50,255.00
1139,116.40,255.00
1140,116.20,255.00
1141,116.40,255.00
1142,116.20,255.00
1143,116.10,255.00
1144,116.20,255.00
1145,116.20,255.00
1146,116.00,255.00
1147,115.90,255.00
1148,116.00,255.00
1149,116.10,255.00
1150,116.00,255.00
1151,116.30,255.00
1152,115.90,255.00
1153,115.80,255.00
1154,115.40,255.00
1155,115.60,255.00
1156,115.90,255.00
1157,115.90,255.00
1158,115.60,255.00
1159,115.60,255.00
1160,115.70,255.00
1161,115.20,255.00
1162,115.60,255.00
1163,115.50,255.00
1164,115.60,255.00
1165,115.50,255.00
1166,117.00,255.00
1167,115.40,255.00
1168,115.30,255.00
1169,115.70,255.00
1170,115.40,255.00
1171,115.10,255.00
1172,115.00,255.00
1173,115.10,255.00
1174,115.10,255.00
1175,115.10,255.00
1176,114.80,255.00
1177,115.00,255.00
1178,115.50,255.00
1179,115.20,255.00
1180,114.90,255.00
1181,114.40,255.00
1182,114.80,255.00
1183,116.10,255.00
1184,114.80,255.00
1185,114.80,255.00
1186,115.10,255.00
1187,114.70,255.00
1188,114.60,255.00
1189,114.60,255.00
1190,115.20,255.00
1191,114.50,255.00
1192,114.30,255.00
1193,114.30,255.00
1194,114.00,255.00
1195,114.20,255.00
1196,114.30,255.00
1197,114.10,255.00
1198,114.10,255.00
1199,114.10,255.00
1200,114.70,255.00
1201,114.60,255.00
1202,114.10,255.00
1203,113.80,255.00
1204,114.40,255.00
1205,113.70,255.00
1206,114.10,255.00
1207,114.80,255.00
1208,113.90,255.00
1209,113.90,255.00
1210,113.90,255.00
1211,113.70,255.00
1212,113.20,255.00
1213,113.60,255.00
1214,113.90,255.00
1215,113.50,255.00
1216,113.60,255.00
1217,113.50,255.00
1218,113.80,255.00
1219,113.60,255.00
1220,113.70,255.00
1221,113.30,255.00
1222,113.50,255.00
1223,113.50,255.00
1224,113.40,255.00
1225,113.40,255.00
1226,113.50,255.00
1227,113.40,255.00
1228,113.30,255.00
1229,113.20,255.00
1230,113.40,255.00
1231,113.00,255.00
1232,113.50,255.00
1233,113.00,255.00
1234,113.10,255.00
1235,112.90,255.00
1236,113.10,255.00
1237,113.30,255.00
1238,113.00,255.00
1239,112.80,255.00
1240,112.80,255.00
1241,112.80,255.00
1242,112.60,255.00
1243,112.60,255.00
1244,112.60,255.00
1245,112.60,255.00
1246,112.70,255.00
1247,112.50,255.00
1248,112.20,255.00
1249,112.10,255.00
1250,112.40,255.00
1251,112.40,255.00
