  //PID root locus
  Kp = 0.00816x10;
  Kd = 0.205x10;
  Ki = 0.000033x10;
Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
0,55.50,0.00
1,55.30,0.00
2,55.40,0.00
3,55.90,3.23
4,55.60,0.00
5,55.60,0.00
6,55.70,0.00
7,55.50,0.00
8,57.20,22.47
9,56.10,0.00
10,55.60,0.00
11,56.00,4.61
12,55.60,0.00
13,55.70,0.00
14,55.40,0.00
15,55.90,3.23
16,57.40,17.02
17,56.00,0.00
18,56.00,0.00
19,55.90,0.00
20,57.00,6.06
21,55.60,0.00
22,57.60,23.87
23,56.80,4.67
24,56.60,0.00
25,56.30,0.00
26,56.80,0.00
27,56.30,0.00
28,56.50,0.00
29,56.80,4.67
30,56.80,0.00
31,56.90,0.00
32,58.90,26.71
33,58.40,0.00
34,57.20,0.00
35,56.80,0.00
36,57.10,0.60
37,57.40,0.62
38,56.90,0.00
39,57.60,6.11
40,57.40,0.00
41,57.50,0.00
42,58.90,15.78
43,57.90,0.00
44,57.60,0.00
45,57.80,0.00
46,57.80,0.00
47,57.90,0.00
48,57.80,0.00
49,57.70,0.00
50,58.30,0.00
51,58.20,0.00
52,58.30,0.00
53,58.40,0.00
54,58.50,0.00
55,58.40,0.00
56,58.30,0.00
57,58.80,3.47
58,58.90,0.00
59,59.60,0.00
60,58.80,0.00
61,58.90,0.00
62,59.20,0.77
63,59.00,0.00
64,59.00,0.00
65,59.10,0.00
66,58.90,0.00
67,59.60,6.27
68,59.60,0.00
69,59.60,0.00
70,59.60,0.00
71,59.90,0.83
72,59.70,0.00
73,59.80,0.00
74,60.00,0.00
75,59.60,0.00
76,60.10,3.58
77,60.10,3.58
78,60.20,0.00
79,60.30,0.00
80,60.60,0.00
81,60.00,0.00
82,60.70,6.36
83,60.70,0.00
84,60.10,0.00
85,60.10,0.00
86,60.60,0.00
87,60.40,0.00
88,62.10,20.14
89,61.10,0.00
90,60.70,0.00
91,61.20,3.67
92,61.50,0.00
93,61.40,0.00
94,61.00,0.00
95,61.50,0.00
96,61.80,0.98
97,61.50,0.00
98,62.00,7.83
99,61.80,0.00
100,62.40,5.13
101,61.80,0.00
102,62.00,0.00
103,62.10,0.00
104,63.50,13.42
105,62.70,0.00
106,63.90,13.45
107,62.50,0.00
108,62.30,0.00
109,62.80,3.80
110,62.70,0.00
111,62.80,0.00
112,63.30,3.84
113,62.90,0.00
114,63.20,1.10
115,63.40,0.00
116,63.30,0.00
117,63.20,0.00
118,63.60,2.50
119,63.70,0.00
120,63.90,0.00
121,63.70,0.00
122,63.90,2.52
123,64.20,1.18
124,64.40,0.00
125,64.20,0.00
126,63.80,0.00
127,64.70,9.42
128,64.60,1.21
129,65.00,2.61
130,64.10,0.00
131,65.00,5.34
132,64.70,0.00
133,64.70,0.00
134,64.90,0.00
135,65.10,0.00
136,64.80,0.00
137,65.80,0.00
138,65.50,0.00
139,65.60,0.00
140,65.80,4.04
141,65.80,0.00
142,66.00,0.00
143,65.90,0.00
144,65.90,0.00
145,67.50,19.21
146,66.20,0.00
147,66.40,0.00
148,66.60,0.01
149,66.50,0.00
150,67.20,6.89
151,66.50,0.00
152,67.10,0.00
153,66.60,0.00
154,67.00,2.77
155,66.80,2.76
156,67.40,5.54
157,67.10,0.00
158,67.60,4.19
159,67.60,0.00
160,67.50,0.00
161,67.70,0.10
162,68.00,1.49
163,67.80,0.00
164,69.00,11.14
165,68.10,0.00
166,68.40,1.52
167,68.80,2.92
168,68.60,0.00
169,69.00,2.94
170,68.30,0.00
171,68.60,1.54
172,69.00,2.94
173,69.00,1.57
174,69.30,1.59
175,69.40,0.00
176,69.40,1.60
177,69.60,0.25
178,69.20,0.00
179,70.40,7.15
180,69.80,0.00
181,70.50,7.16
182,70.10,0.00
183,70.80,7.18
184,70.90,0.00
185,70.20,0.00
186,71.30,12.69
187,70.70,0.00
188,71.10,0.38
189,70.80,0.00
190,70.90,0.00
191,71.30,0.39
192,71.20,0.00
193,70.80,0.00
194,71.10,1.74
195,71.20,0.00
196,71.80,5.90
197,71.70,0.00
198,71.80,1.80
199,71.90,0.00
200,73.00,12.83
201,71.80,0.00
202,72.40,5.95
203,72.30,0.00
204,72.30,0.00
205,72.80,4.61
206,72.60,0.00
207,73.00,0.00
208,73.10,0.00
209,73.20,0.00
210,73.50,6.04
211,73.30,0.00
212,73.70,3.32
213,73.90,3.34
214,73.70,0.00
215,73.80,0.00
216,74.20,0.00
217,74.20,0.00
218,74.10,0.00
219,74.40,0.64
220,74.10,0.00
221,74.60,4.76
222,74.80,0.68
223,75.20,3.44
224,74.90,0.00
225,75.20,2.08
226,75.20,7.54
227,74.50,0.00
228,75.50,11.67
229,75.90,2.13
230,75.80,0.00
231,75.40,0.00
232,75.60,0.74
233,75.90,2.13
234,76.10,0.78
235,76.50,4.92
236,76.30,0.00
237,76.60,2.19
238,77.10,6.33
239,76.70,0.00
240,77.70,11.85
241,76.80,0.00
242,77.20,3.61
243,78.40,14.64
244,78.00,5.04
245,77.70,0.00
246,77.30,0.00
247,77.90,2.30
248,78.00,0.00
249,78.10,0.00
250,79.30,21.54
251,77.80,0.00
252,78.50,7.81
253,78.00,0.00
254,78.50,5.08
255,79.00,5.12
256,78.80,0.00
257,79.10,1.03
258,79.50,3.79
259,79.20,0.00
260,79.60,3.80
261,79.80,1.09
262,79.80,0.00
263,80.10,0.00
264,79.50,0.00
265,80.10,6.58
266,80.30,0.00
267,80.40,0.00
268,80.60,1.15
269,80.70,0.00
270,81.10,3.92
271,81.10,0.00
272,81.20,0.00
273,81.30,0.00
274,82.10,9.47
275,81.40,0.00
276,81.80,3.98
277,81.90,0.00
278,82.30,1.29
279,82.60,2.68
280,82.20,0.00
281,82.20,2.65
282,82.50,2.67
283,82.60,0.00
284,82.80,1.33
285,83.10,2.72
286,83.10,0.00
287,82.90,0.00
288,84.00,13.73
289,83.60,0.00
290,83.60,0.00
291,83.80,1.41
292,84.10,2.80
293,84.20,0.00
294,84.40,1.46
295,84.20,0.00
296,84.60,1.48
297,84.60,0.00
298,84.80,1.49
299,85.00,4.24
300,85.00,0.00
301,85.20,1.53
302,85.00,4.24
303,85.40,4.28
304,85.70,2.93
305,86.00,0.22
306,86.00,0.00
307,86.30,2.98
308,86.20,0.00
309,86.70,5.75
310,86.90,1.66
311,86.60,0.27
312,86.70,0.28
313,87.00,3.04
314,87.30,1.70
315,87.30,0.00
316,87.40,0.34
317,87.30,0.00
318,87.70,4.46
319,87.90,1.75
320,87.90,1.75
321,88.20,3.14
322,88.00,0.00
323,88.50,1.79
324,88.50,0.00
325,88.60,0.44
326,88.90,0.00
327,89.20,3.22
328,90.30,14.24
329,89.30,1.86
330,90.20,11.50
331,89.60,0.00
332,89.70,0.53
333,90.90,15.66
334,89.70,0.00
335,90.10,0.00
336,90.30,1.94
337,90.30,0.00
338,90.40,0.00
339,90.70,3.34
340,90.90,1.99
341,92.10,13.02
342,91.40,0.00
343,91.10,0.00
344,91.60,0.68
345,91.30,0.00
346,91.70,4.79
347,92.10,4.82
348,92.10,0.00
349,92.30,2.11
350,92.40,0.75
351,92.60,2.13
352,92.60,0.00
353,92.90,2.15
354,92.80,0.00
355,92.90,0.79
356,93.40,0.00
357,93.40,0.00
358,93.50,0.84
359,93.90,9.07
360,93.80,0.00
361,93.90,0.87
362,94.10,0.00
363,94.10,0.00
364,94.40,3.64
365,94.70,0.00
366,94.90,2.32
367,94.90,0.00
368,96.00,11.97
369,95.30,0.00
370,95.80,6.49
371,95.40,0.00
372,95.20,0.00
373,96.00,10.61
374,96.40,6.54
375,96.60,2.46
376,95.90,0.00
377,96.90,6.58
378,97.20,3.87
379,96.90,0.00
380,96.80,1.11
381,96.70,0.00
382,97.60,12.10
383,97.10,0.00
384,97.30,0.00
385,97.50,2.53
386,97.40,0.00
387,97.80,0.00
388,98.20,5.32
389,97.90,0.00
390,98.40,5.34
391,98.50,1.24
392,98.70,2.63
393,99.80,6.82
394,98.90,0.00
395,99.00,1.29
396,99.30,0.00
397,99.60,4.07
398,99.50,0.00
399,99.80,2.72
400,99.70,0.00
401,100.40,9.60
402,100.20,1.38
403,101.20,13.76
404,100.40,0.00
405,101.00,5.55
406,101.00,0.08
407,100.90,0.00
408,101.20,1.46
409,101.40,2.85
410,101.40,0.11
411,101.60,0.13
412,101.80,2.88
413,101.70,0.00
414,102.10,0.00
415,102.30,2.92
416,102.50,2.94
417,102.60,1.58
418,102.90,4.34
419,102.90,0.24
420,103.10,0.00
